name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
vancouver,2021-01-02T19:00:00,7.2,5.6,6.1,92.4,0,0,,0,0,,8.7,270,1000.5,100,30,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T20:00:00,6.7,4.5,5.9,94.64,0,0,,0,0,31.3,10.9,295,1001.1,98,32,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T21:00:00,5.8,4.4,5.1,95.54,0,0,,0,0,,6.6,87,1001.7,94.7,32,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T22:00:00,5.9,5.1,4.6,91.15,0.11,100,rain,0,0,,5.1,68,1002.1,100,30,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T23:00:00,5.6,4.6,4.3,91.14,0,0,,0,0,,5.6,94,1002.9,83.9,32,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-03T00:00:00,5.8,5.8,4.4,90.83,0,0,,0,0,,3.9,57,1003.6,79.7,32,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-03T01:00:00,4.5,2.8,3.7,94.86,0,0,,0,0,,6.9,72,1004.2,30,30,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-03T02:00:00,4,2.5,3.6,96.78,0,0,,0,0,,6.2,79,1005,30,32,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-03T03:00:00,4.2,2.5,3.9,97.8,0,0,,0,0,,7.1,82,1006,30,32,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-03T04:00:00,4.1,2.1,3.5,95.6,0,0,,0,0,,8.1,79,1007.2,50,30,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-03T05:00:00,4.4,2.1,3.7,95.08,0,0,,0,0,,9.6,78,1007.9,38,32,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-03T06:00:00,5.1,2.3,3.8,91.58,0,0,,0,0,,12,80,1008.4,76.1,32,0,,0,,Partially cloudy,partly-cloudy-night,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-03T07:00:00,5.6,3.3,4.5,93.1,0,0,,0,0,,10.4,92,1008.9,100,24,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
